FileName,mean_particles,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,30,30.722697575887043
events-ee-H.hepmc3,64.97,30,34.90749994913737
events-pp-0.5TeV-5GeV.hepmc3,112.62,30,67.14383761088054
events-pp-1TeV-5GeV.hepmc3,160.36,30,98.46655527750652
events-pp-2TeV-5GeV.hepmc3,188.21,30,113.80521456400554
events-pp-1TeV.hepmc3,226.98,30,128.1569004058838
events-pp-2TeV.hepmc3,226.98,30,127.57364908854167
events-pp-5TeV-10GeV.hepmc3,284.15,30,171.62505785624185
events-pp-8TeV-20GeV.hepmc3,354.18,30,194.4850285847982
events-pp-13TeV-20GeV.hepmc,431.18,30,246.86288833618164
events-pp-20TeV-20GeV.hepmc3,524.59,30,288.8571421305338
events-pp-20TeV-50GeV.hepmc3,553.64,30,326.24244689941406
events-pp-30TeV-50GeV.hepmc3,632.29,30,315.165122350057
