FileName,mean_particles,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,15,11.962758666666662
events-ee-H.hepmc3,64.97,15,2.1492226666666667
events-pp-0.5TeV-5GeV.hepmc3,112.62,15,5.885630000000001
events-pp-1TeV-5GeV.hepmc3,160.36,15,8.116385333333334
events-pp-2TeV-5GeV.hepmc3,188.21,15,10.151906666666665
events-pp-1TeV.hepmc3,226.98,15,10.484753333333332
events-pp-2TeV.hepmc3,226.98,15,10.835023333333334
events-pp-5TeV-10GeV.hepmc3,284.15,15,14.599182666666668
events-pp-8TeV-20GeV.hepmc3,354.18,15,16.287929333333334
events-pp-13TeV-20GeV.hepmc,431.18,15,20.481841999999997
events-pp-20TeV-20GeV.hepmc3,524.59,15,23.65114533333333
events-pp-20TeV-50GeV.hepmc3,553.64,15,22.184009333333336
events-pp-30TeV-50GeV.hepmc3,632.29,15,24.988823333333332
