FileName,mean_particles,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,15,11.636892954508463
events-ee-H.hepmc3,64.97,15,9.305159250895182
events-pp-0.5TeV-5GeV.hepmc3,112.62,15,31.239191691080727
events-pp-1TeV-5GeV.hepmc3,160.36,15,50.678412119547524
events-pp-2TeV-5GeV.hepmc3,188.21,15,55.22441864013672
events-pp-1TeV.hepmc3,226.98,15,58.13741683959961
events-pp-2TeV.hepmc3,226.98,15,61.8735949198405
events-pp-5TeV-10GeV.hepmc3,284.15,15,81.4352035522461
events-pp-8TeV-20GeV.hepmc3,354.18,15,90.47921498616536
events-pp-13TeV-20GeV.hepmc,431.18,15,138.75595728556314
events-pp-20TeV-20GeV.hepmc3,524.59,15,141.8623924255371
events-pp-20TeV-50GeV.hepmc3,553.64,15,126.87746683756511
events-pp-30TeV-50GeV.hepmc3,632.29,15,148.15568923950195
