FileName,mean_particles,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,15,7.648626963297526
events-ee-H.hepmc3,64.97,15,8.23227564493815
events-pp-0.5TeV-5GeV.hepmc3,112.62,15,14.360427856445312
events-pp-1TeV-5GeV.hepmc3,160.36,15,20.509084065755207
events-pp-2TeV-5GeV.hepmc3,188.21,15,31.053225199381508
events-pp-1TeV.hepmc3,226.98,15,26.3980229695638
events-pp-2TeV.hepmc3,226.98,15,26.748021443684895
events-pp-5TeV-10GeV.hepmc3,284.15,15,36.50585810343424
events-pp-8TeV-20GeV.hepmc3,354.18,15,40.83728790283203
events-pp-13TeV-20GeV.hepmc,431.18,15,49.218972524007164
events-pp-20TeV-20GeV.hepmc3,524.59,15,57.62751897176107
events-pp-20TeV-50GeV.hepmc3,553.64,15,56.17173512776693
events-pp-30TeV-50GeV.hepmc3,632.29,15,64.25110499064127
